Data Science Specialist,"Bangalore/Bengaluru, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai",Accenture
Analystics & Modeling Specialist,"Bangalore/Bengaluru, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai",Accenture
Data Scientist,"Hybrid - Bangalore/Bengaluru, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Mumbai (All Areas)",Cognizant
Data Scientist,"Bangalore/Bengaluru, Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram",Capgemini
Expert Data Scientist,"Bangalore/Bengaluru, Mumbai",UPL Limited
Lead Data Scientist,"Bangalore/Bengaluru, Noida, Hyderabad/Secunderabad, Pune, Chennai, Mumbai (All Areas)",Birlasoft
Senior Manager-Data Science,Bangalore/Bengaluru,AMERICAN EXPRESS
Senior Director/Head - Data Science & Analytics,"Bangalore/Bengaluru, Pune, Chennai",Vertex Corporate
Data Scientist Staff,Bangalore/Bengaluru,Juniper Networks
Senior Data Science and Analytics Strategy Consultant,Bangalore/Bengaluru,Wells Fargo
